title,description,labels,milestone,issue, status
"Scaffold inicial do projeto (arquivos base)","Criação de estrutura básica, README.md, Dockerfile, docker-compose.yml, requirements.txt, e scripts de demonstração/teste.","docs;infra","v1.0.0",,"Done"
"Implementar API Flask básica","Endpoint /clima/<cidade>, /historico, /health e persistência em MySQL (tabela consultas_clima).","enhancement;infra","v1.0.0",,"Done"
"Docker + Docker Compose (web + MySQL)","Dockerfile atualizado e docker-compose.yml para web e db; make targets.","infra",, ,"Done"
"Testes de integração básicos","tests/test_api.py com 7 testes de endpoints; execução via make test e scripts de demonstração.","test",, ,"Done"
"Ajuste de dependências - cryptography","Adição de cryptography ao requirements.txt para compatibilidade com MySQL 8.","infra",, ,"Done"
"Scripts auxiliares e automações iniciais","scripts/create-github-resources.sh, scripts/monitor-api-key.sh, scripts/test-basic.sh e Makefile.","infra;ci",, ,"Done"
"Criar Project / Kanban","Project criado pelo usuário; aguardando criação automática de colunas e movimentação de issues (Project URL: https://github.com/users/edelcio-muniz/projects/7)","infra;docs",,https://github.com/users/edelcio-muniz/projects/7,"In Progress"
"Criar automações do Project","Automations sugeridas (mover issues novas para Backlog, mover PRs com merge para Done, etc.).","infra",, ,"In Progress"
"Adicionar CI básico","Criar workflow GitHub Actions que instale dependências e execute checagens básicas e testes.","ci;enhancement","v1.0.0",https://github.com/edelcio-muniz/app-clima/issues/1,"Backlog"
"Configurar Kanban / Project","Criar Project com colunas e adicionar issues iniciais.","infra;docs",,https://github.com/edelcio-muniz/app-clima/issues/2,"Backlog"
"Melhorar tratamento de erros da API","Revisar e melhorar mensagens de erro, códigos HTTP e logs.","bug;enhancement",,https://github.com/edelcio-muniz/app-clima/issues/3,"Backlog"
"Migrar app-clima para minikube / Kubernetes","Gerar manifests k8s, preparar k8s/ e Makefile targets.","infra",, ,"Backlog"
"Melhorar cobertura de testes e lint","Adicionar pytest, testes unitários, linting e integrar ao CI.","test;ci",, ,"Backlog"
"Documentação de uso e deploy","Completar USAGE.md, COMMANDS.md e exemplos de deploy com variáveis e secrets.","docs",, ,"Backlog"
